"Gender","Age","Rating","Count","id"
"Females","30-44",7.8,1051,"/title/tt0130444/"
"Females","45+",7.7,329,"/title/tt0130444/"
"Females","All Ages",7.7,1960,"/title/tt0130444/"
"Males","<18",7,2,"/title/tt0130444/"
"Males","18-29",7.3,172,"/title/tt0130444/"
"Males","30-44",7,1148,"/title/tt0130444/"
"Males","45+",7,983,"/title/tt0130444/"
"Males","All Ages",7,2341,"/title/tt0130444/"
"All","<18",NA,NA,"/title/tt0212889/"
"All","18-29",6.9,60,"/title/tt0212889/"
"All","30-44",7.2,319,"/title/tt0212889/"
"All","45+",7.6,289,"/title/tt0212889/"
"All","All Ages",7.4,913,"/title/tt0212889/"
"Females","<18",NA,NA,"/title/tt0212889/"
"Females","18-29",6.8,32,"/title/tt0212889/"
"Females","30-44",7,93,"/title/tt0212889/"
"Females","45+",7.6,37,"/title/tt0212889/"
"Females","All Ages",7.1,166,"/title/tt0212889/"
"Males","<18",NA,NA,"/title/tt0212889/"
"Males","18-29",7,28,"/title/tt0212889/"
"Males","30-44",7.2,224,"/title/tt0212889/"
"Males","45+",7.6,246,"/title/tt0212889/"
"Males","All Ages",7.4,504,"/title/tt0212889/"
"All","<18",NA,NA,"/title/tt0250425/"
"All","18-29",8,145,"/title/tt0250425/"
"All","30-44",7.5,285,"/title/tt0250425/"
"All","45+",7.6,305,"/title/tt0250425/"
"All","All Ages",7.7,967,"/title/tt0250425/"
"Females","<18",NA,NA,"/title/tt0250425/"
"Females","18-29",8.6,95,"/title/tt0250425/"
"Females","30-44",8.3,155,"/title/tt0250425/"
"Females","45+",8.3,136,"/title/tt0250425/"
"Females","All Ages",8.4,410,"/title/tt0250425/"
"Males","<18",NA,NA,"/title/tt0250425/"
"Males","18-29",7,47,"/title/tt0250425/"
"Males","30-44",6.8,127,"/title/tt0250425/"
"Males","45+",7.2,167,"/title/tt0250425/"
"Males","All Ages",7,349,"/title/tt0250425/"
"All","<18",8,1679,"/title/tt0241527/"
"All","18-29",7.8,200066,"/title/tt0241527/"
"All","30-44",7.2,153524,"/title/tt0241527/"
"All","45+",7.5,36267,"/title/tt0241527/"
"All","All Ages",7.6,520235,"/title/tt0241527/"
"Females","<18",8.6,542,"/title/tt0241527/"
"Females","18-29",8.3,60268,"/title/tt0241527/"
"Females","30-44",7.8,35255,"/title/tt0241527/"
"Females","45+",8,7739,"/title/tt0241527/"
"Females","All Ages",8.1,109944,"/title/tt0241527/"
"Males","<18",7.8,1125,"/title/tt0241527/"
"Males","18-29",7.6,138114,"/title/tt0241527/"
"Males","30-44",7.1,116679,"/title/tt0241527/"
"Males","45+",7.4,27940,"/title/tt0241527/"
"Males","All Ages",7.4,298097,"/title/tt0241527/"
"All","<18",8.7,202,"/title/tt0166924/"
"All","18-29",8.1,68566,"/title/tt0166924/"
"All","30-44",7.9,119491,"/title/tt0166924/"
"All","45+",7.7,27315,"/title/tt0166924/"
"All","All Ages",8,272303,"/title/tt0166924/"
"Females","<18",7.6,27,"/title/tt0166924/"
"Females","18-29",7.9,13386,"/title/tt0166924/"
"Females","30-44",7.7,17562,"/title/tt0166924/"
"Females","45+",7.4,3811,"/title/tt0166924/"
"Females","All Ages",7.8,35983,"/title/tt0166924/"
"Males","<18",8.8,170,"/title/tt0166924/"
"Males","18-29",8.2,54571,"/title/tt0166924/"
"Males","30-44",8,100586,"/title/tt0166924/"
"Males","45+",7.7,23055,"/title/tt0166924/"
"Males","All Ages",8,183707,"/title/tt0166924/"
"All","<18",NA,NA,"/title/tt0257850/"
"All","18-29",7.4,582,"/title/tt0257850/"
"All","30-44",7.2,2645,"/title/tt0257850/"
"All","45+",7.3,1106,"/title/tt0257850/"
"All","All Ages",7.3,5755,"/title/tt0257850/"
"Females","<18",NA,NA,"/title/tt0257850/"
"Females","18-29",7.6,237,"/title/tt0257850/"
"Females","30-44",7.7,726,"/title/tt0257850/"
"Females","45+",7.7,236,"/title/tt0257850/"
"Females","All Ages",7.6,1231,"/title/tt0257850/"
"Males","<18",NA,NA,"/title/tt0257850/"
"Males","18-29",7.4,339,"/title/tt0257850/"
"Males","30-44",7.1,1888,"/title/tt0257850/"
"Males","45+",7.2,863,"/title/tt0257850/"
"Males","All Ages",7.1,3140,"/title/tt0257850/"
"All","<18",7,2,"/title/tt0401248/"
"All","18-29",7.4,352,"/title/tt0401248/"
"All","30-44",7,1418,"/title/tt0401248/"
"All","45+",7.4,621,"/title/tt0401248/"
"All","All Ages",7.1,2931,"/title/tt0401248/"
"Females","<18",NA,NA,"/title/tt0401248/"
"Females","18-29",7.5,119,"/title/tt0401248/"
"Females","30-44",6.4,311,"/title/tt0401248/"
"Females","45+",7.9,82,"/title/tt0401248/"
"Females","All Ages",7,522,"/title/tt0401248/"
"Males","<18",7,2,"/title/tt0401248/"
"Males","18-29",7.4,224,"/title/tt0401248/"
"Males","30-44",7.1,1089,"/title/tt0401248/"
"Males","45+",7.3,530,"/title/tt0401248/"
"Males","All Ages",7.2,1883,"/title/tt0401248/"
"All","<18",NA,NA,"/title/tt1104733/"
"All","18-29",6.4,3341,"/title/tt1104733/"
"All","30-44",6.4,8263,"/title/tt1104733/"
"All","45+",6.2,2052,"/title/tt1104733/"
"All","All Ages",6.4,15850,"/title/tt1104733/"
"Females","<18",NA,NA,"/title/tt1104733/"
"Females","18-29",6.4,778,"/title/tt1104733/"
"Females","30-44",6.6,1240,"/title/tt1104733/"
"Females","45+",6.7,318,"/title/tt1104733/"
"Females","All Ages",6.6,2382,"/title/tt1104733/"
"Males","<18",NA,NA,"/title/tt1104733/"
"Males","18-29",6.4,2537,"/title/tt1104733/"
"Males","30-44",6.4,6957,"/title/tt1104733/"
"Males","45+",6.1,1696,"/title/tt1104733/"
"Males","All Ages",6.4,11374,"/title/tt1104733/"
"All","<18",7.5,2,"/title/tt0324013/"
"All","18-29",8,1380,"/title/tt0324013/"
"All","30-44",7.8,2140,"/title/tt0324013/"
"All","45+",8,1034,"/title/tt0324013/"
"All","All Ages",7.9,5735,"/title/tt0324013/"
"Females","<18",5,1,"/title/tt0324013/"
"Females","18-29",8.1,905,"/title/tt0324013/"
"Females","30-44",7.9,965,"/title/tt0324013/"
"Females","45+",8.3,317,"/title/tt0324013/"
"Females","All Ages",8,2248,"/title/tt0324013/"
"Males","<18",10,1,"/title/tt0324013/"
"Males","18-29",7.8,448,"/title/tt0324013/"
"Males","30-44",7.8,1145,"/title/tt0324013/"
"Males","45+",7.9,699,"/title/tt0324013/"
"Males","All Ages",7.8,2357,"/title/tt0324013/"
"All","<18",NA,NA,"/title/tt0350146/"
"All","18-29",5.1,77,"/title/tt0350146/"
"All","30-44",4.3,318,"/title/tt0350146/"
"All","45+",4.3,202,"/title/tt0350146/"
"All","All Ages",4.3,761,"/title/tt0350146/"
"Females","<18",NA,NA,"/title/tt0350146/"
"Females","18-29",2.7,6,"/title/tt0350146/"
"Females","30-44",4.7,24,"/title/tt0350146/"
"Females","45+",3,8,"/title/tt0350146/"
"Females","All Ages",3.9,39,"/title/tt0350146/"
"Males","<18",NA,NA,"/title/tt0350146/"
"Males","18-29",5.3,69,"/title/tt0350146/"
"Males","30-44",4.2,292,"/title/tt0350146/"
"Males","45+",4.4,193,"/title/tt0350146/"
"Males","All Ages",4.4,570,"/title/tt0350146/"
"All","<18",6,3,"/title/tt0448075/"
"All","18-29",6,1621,"/title/tt0448075/"
"All","30-44",5.8,6699,"/title/tt0448075/"
"All","45+",6,2984,"/title/tt0448075/"
"All","All Ages",5.9,13604,"/title/tt0448075/"
"Females","<18",8,1,"/title/tt0448075/"
"Females","18-29",6.1,428,"/title/tt0448075/"
"Females","30-44",6,1179,"/title/tt0448075/"
"Females","45+",6.1,545,"/title/tt0448075/"
"Females","All Ages",6.1,2201,"/title/tt0448075/"
"Males","<18",5,2,"/title/tt0448075/"
"Males","18-29",5.9,1183,"/title/tt0448075/"
"Males","30-44",5.8,5470,"/title/tt0448075/"
"Males","45+",5.9,2395,"/title/tt0448075/"
"Males","All Ages",5.8,9196,"/title/tt0448075/"
"All","<18",8,1,"/title/tt0823158/"
"All","18-29",6.2,343,"/title/tt0823158/"
"All","30-44",6,750,"/title/tt0823158/"
"All","45+",6.3,348,"/title/tt0823158/"
"All","All Ages",6.1,1728,"/title/tt0823158/"
"Females","<18",8,1,"/title/tt0823158/"
"Females","18-29",6.2,176,"/title/tt0823158/"
"Females","30-44",6.1,243,"/title/tt0823158/"
"Females","45+",6.5,55,"/title/tt0823158/"
"Females","All Ages",6.2,481,"/title/tt0823158/"
"Males","<18",NA,NA,"/title/tt0823158/"
"Males","18-29",6.2,159,"/title/tt0823158/"
"Males","30-44",5.9,503,"/title/tt0823158/"
"Males","45+",6.3,291,"/title/tt0823158/"
"Males","All Ages",6.1,970,"/title/tt0823158/"
"All","<18",8.5,25,"/title/tt1073510/"
"All","18-29",8.4,5247,"/title/tt1073510/"
"All","30-44",7.9,4477,"/title/tt1073510/"
"All","45+",7.8,1257,"/title/tt1073510/"
"All","All Ages",8.1,13437,"/title/tt1073510/"
"Females","<18",8,9,"/title/tt1073510/"
"Females","18-29",8.3,1655,"/title/tt1073510/"
"Females","30-44",8,946,"/title/tt1073510/"
"Females","45+",8,217,"/title/tt1073510/"
"Females","All Ages",8.1,2927,"/title/tt1073510/"
"Males","<18",8.6,15,"/title/tt1073510/"
"Males","18-29",8.5,3511,"/title/tt1073510/"
"Males","30-44",7.9,3491,"/title/tt1073510/"
"Males","45+",7.8,1023,"/title/tt1073510/"
"Males","All Ages",8.1,8371,"/title/tt1073510/"
"All","<18",10,1,"/title/tt0206420/"
"All","18-29",5.4,1360,"/title/tt0206420/"
"All","30-44",5.2,4020,"/title/tt0206420/"
"All","45+",5.4,1711,"/title/tt0206420/"
"All","All Ages",5.3,9169,"/title/tt0206420/"
"Females","<18",NA,NA,"/title/tt0206420/"
"Females","18-29",5.7,783,"/title/tt0206420/"
"Females","30-44",5.5,1286,"/title/tt0206420/"
"Females","45+",5.7,354,"/title/tt0206420/"
"Females","All Ages",5.6,2502,"/title/tt0206420/"
"Males","<18",10,1,"/title/tt0206420/"
"Males","18-29",5,562,"/title/tt0206420/"
"Males","30-44",5,2697,"/title/tt0206420/"
"Males","45+",5.3,1337,"/title/tt0206420/"
"Males","All Ages",5.1,4710,"/title/tt0206420/"
"All","<18",8.1,169,"/title/tt2278871/"
"All","18-29",7.9,45127,"/title/tt2278871/"
"All","30-44",7.7,35369,"/title/tt2278871/"
"All","45+",7.6,7835,"/title/tt2278871/"
"All","All Ages",7.8,112944,"/title/tt2278871/"
"Females","<18",7.6,88,"/title/tt2278871/"
"Females","18-29",7.8,18351,"/title/tt2278871/"
"Females","30-44",7.7,8906,"/title/tt2278871/"
"Females","45+",7.8,1396,"/title/tt2278871/"
"Females","All Ages",7.8,30565,"/title/tt2278871/"
"Males","<18",8.4,79,"/title/tt2278871/"
"Males","18-29",8,26210,"/title/tt2278871/"
"Males","30-44",7.7,25946,"/title/tt2278871/"
"Males","45+",7.6,6283,"/title/tt2278871/"
"Males","All Ages",7.8,61484,"/title/tt2278871/"
"All","<18",8.4,23,"/title/tt1684226/"
"All","18-29",8.1,9709,"/title/tt1684226/"
"All","30-44",7.7,10025,"/title/tt1684226/"
"All","45+",7.9,3423,"/title/tt1684226/"
"All","All Ages",7.9,29331,"/title/tt1684226/"
"Females","<18",6.6,7,"/title/tt1684226/"
"Females","18-29",8.3,4221,"/title/tt1684226/"
"Females","30-44",8,3377,"/title/tt1684226/"
"Females","45+",8.3,1061,"/title/tt1684226/"
"Females","All Ages",8.2,9288,"/title/tt1684226/"
"Males","<18",8.7,16,"/title/tt1684226/"
"Males","18-29",8,5360,"/title/tt1684226/"
"Males","30-44",7.6,6498,"/title/tt1684226/"
"Males","45+",7.8,2317,"/title/tt1684226/"
"Males","All Ages",7.8,15076,"/title/tt1684226/"
"All","<18",8,1,"/title/tt0074123/"
"All","18-29",7.1,82,"/title/tt0074123/"
"All","30-44",6.6,553,"/title/tt0074123/"
"All","45+",6.4,465,"/title/tt0074123/"
"All","All Ages",6.6,1460,"/title/tt0074123/"
"Females","<18",NA,NA,"/title/tt0074123/"
"Females","18-29",7.3,9,"/title/tt0074123/"
"Females","30-44",6.8,28,"/title/tt0074123/"
"Females","45+",6.8,27,"/title/tt0074123/"
"Females","All Ages",6.9,67,"/title/tt0074123/"
"Males","<18",8,1,"/title/tt0074123/"
"Males","18-29",7.1,73,"/title/tt0074123/"
"Males","30-44",6.6,516,"/title/tt0074123/"
"Males","45+",6.4,431,"/title/tt0074123/"
"Males","All Ages",6.5,1048,"/title/tt0074123/"
"All","<18",NA,NA,"/title/tt0115856/"
"All","18-29",6.4,140,"/title/tt0115856/"
"All","30-44",6.8,1234,"/title/tt0115856/"
"All","45+",6.9,810,"/title/tt0115856/"
"All","All Ages",6.9,2990,"/title/tt0115856/"
"Females","<18",NA,NA,"/title/tt0115856/"
"Females","18-29",6.5,70,"/title/tt0115856/"
"Females","30-44",6.9,255,"/title/tt0115856/"
"Females","45+",7.4,146,"/title/tt0115856/"
"Females","All Ages",7,479,"/title/tt0115856/"
"Males","<18",NA,NA,"/title/tt0115856/"
"Males","18-29",6.4,70,"/title/tt0115856/"
"Males","30-44",6.8,962,"/title/tt0115856/"
"Males","45+",6.8,653,"/title/tt0115856/"
"Males","All Ages",6.8,1709,"/title/tt0115856/"
"All","<18",7.3,27,"/title/tt0116126/"
"All","18-29",6.8,11650,"/title/tt0116126/"
"All","30-44",6.6,20359,"/title/tt0116126/"
"All","45+",5.8,1944,"/title/tt0116126/"
"All","All Ages",6.6,42004,"/title/tt0116126/"
"Females","<18",9,2,"/title/tt0116126/"
"Females","18-29",6.6,1271,"/title/tt0116126/"
"Females","30-44",6.4,1541,"/title/tt0116126/"
"Females","45+",5.8,247,"/title/tt0116126/"
"Females","All Ages",6.4,3164,"/title/tt0116126/"
"Males","<18",7.3,25,"/title/tt0116126/"
"Males","18-29",6.9,10293,"/title/tt0116126/"
"Males","30-44",6.6,18663,"/title/tt0116126/"
"Males","45+",5.8,1671,"/title/tt0116126/"
"Males","All Ages",6.6,31659,"/title/tt0116126/"
"All","<18",7.5,17,"/title/tt0296042/"
"All","18-29",7.2,9590,"/title/tt0296042/"
"All","30-44",7.1,24722,"/title/tt0296042/"
"All","45+",6.9,4039,"/title/tt0296042/"
"All","All Ages",7.1,46243,"/title/tt0296042/"
"Females","<18",8.6,5,"/title/tt0296042/"
"Females","18-29",7.2,1403,"/title/tt0296042/"
"Females","30-44",7.2,2325,"/title/tt0296042/"
"Females","45+",7,462,"/title/tt0296042/"
"Females","All Ages",7.2,4272,"/title/tt0296042/"
"Males","<18",7.2,12,"/title/tt0296042/"
"Males","18-29",7.1,8087,"/title/tt0296042/"
"Males","30-44",7.1,22162,"/title/tt0296042/"
"Males","45+",6.9,3517,"/title/tt0296042/"
"Males","All Ages",7.1,34466,"/title/tt0296042/"
"All","<18",NA,NA,"/title/tt0338290/"
"All","18-29",7.2,308,"/title/tt0338290/"
"All","30-44",6.9,1081,"/title/tt0338290/"
"All","45+",7.3,892,"/title/tt0338290/"
"All","All Ages",7.1,2995,"/title/tt0338290/"
"Females","<18",NA,NA,"/title/tt0338290/"
"Females","18-29",7.2,145,"/title/tt0338290/"
"Females","30-44",6.4,371,"/title/tt0338290/"
"Females","45+",7.9,271,"/title/tt0338290/"
"Females","All Ages",7.2,812,"/title/tt0338290/"
"Males","<18",NA,NA,"/title/tt0338290/"
"Males","18-29",7.2,154,"/title/tt0338290/"
"Males","30-44",7,697,"/title/tt0338290/"
"Males","45+",7.1,610,"/title/tt0338290/"
"Males","All Ages",7.1,1487,"/title/tt0338290/"
"All","<18",6.6,10,"/title/tt0257516/"
"All","18-29",5.2,5140,"/title/tt0257516/"
"All","30-44",4.8,13697,"/title/tt0257516/"
"All","45+",5.2,3800,"/title/tt0257516/"
"All","All Ages",5,27823,"/title/tt0257516/"
"Females","<18",5.5,2,"/title/tt0257516/"
"Females","18-29",5.5,1686,"/title/tt0257516/"
"Females","30-44",5.2,2573,"/title/tt0257516/"
"Females","45+",5.7,549,"/title/tt0257516/"
"Females","All Ages",5.3,4950,"/title/tt0257516/"
"Males","<18",6.8,7,"/title/tt0257516/"
"Males","18-29",5,3412,"/title/tt0257516/"
"Males","30-44",4.8,10997,"/title/tt0257516/"
"Males","45+",5.2,3199,"/title/tt0257516/"
"Males","All Ages",4.9,17993,"/title/tt0257516/"
"All","<18",7.9,8,"/title/tt0332375/"
"All","18-29",6.8,9367,"/title/tt0332375/"
"All","30-44",6.9,20596,"/title/tt0332375/"
"All","45+",6.7,4108,"/title/tt0332375/"
"All","All Ages",6.8,42048,"/title/tt0332375/"
"Females","<18",8.9,5,"/title/tt0332375/"
"Females","18-29",6.9,5775,"/title/tt0332375/"
"Females","30-44",7.2,6899,"/title/tt0332375/"
"Females","45+",7.1,953,"/title/tt0332375/"
"Females","All Ages",7.1,13980,"/title/tt0332375/"
"Males","<18",7,3,"/title/tt0332375/"
"Males","18-29",6.8,3507,"/title/tt0332375/"
"Males","30-44",6.7,13498,"/title/tt0332375/"
"Males","45+",6.6,3089,"/title/tt0332375/"
"Males","All Ages",6.7,20456,"/title/tt0332375/"
"All","<18",NA,NA,"/title/tt1603789/"
"All","18-29",5.9,156,"/title/tt1603789/"
"All","30-44",5.2,339,"/title/tt1603789/"
"All","45+",5.6,129,"/title/tt1603789/"
"All","All Ages",5.5,719,"/title/tt1603789/"
"Females","<18",NA,NA,"/title/tt1603789/"
"Females","18-29",5.7,39,"/title/tt1603789/"
"Females","30-44",4.3,62,"/title/tt1603789/"
"Females","45+",4.7,8,"/title/tt1603789/"
"Females","All Ages",4.8,113,"/title/tt1603789/"
"Males","<18",NA,NA,"/title/tt1603789/"
"Males","18-29",5.8,111,"/title/tt1603789/"
"Males","30-44",5.4,273,"/title/tt1603789/"
"Males","45+",5.6,118,"/title/tt1603789/"
"Males","All Ages",5.5,519,"/title/tt1603789/"
"All","<18",7.5,4,"/title/tt1906518/"
"All","18-29",7.1,610,"/title/tt1906518/"
"All","30-44",6.8,355,"/title/tt1906518/"
"All","45+",6.7,70,"/title/tt1906518/"
"All","All Ages",7,1373,"/title/tt1906518/"
"Females","<18",8,3,"/title/tt1906518/"
"Females","18-29",7.3,438,"/title/tt1906518/"
"Females","30-44",7.1,196,"/title/tt1906518/"
"Females","45+",8,19,"/title/tt1906518/"
"Females","All Ages",7.3,700,"/title/tt1906518/"
"Males","<18",6,1,"/title/tt1906518/"
"Males","18-29",6.7,148,"/title/tt1906518/"
"Males","30-44",6.5,147,"/title/tt1906518/"
"Males","45+",6.1,50,"/title/tt1906518/"
"Males","All Ages",6.5,361,"/title/tt1906518/"
"All","<18",8.4,69,"/title/tt1189073/"
"All","18-29",7.8,37121,"/title/tt1189073/"
"All","30-44",7.6,51810,"/title/tt1189073/"
"All","45+",7.3,9835,"/title/tt1189073/"
"All","All Ages",7.6,116021,"/title/tt1189073/"
"Females","<18",8.2,20,"/title/tt1189073/"
"Females","18-29",7.9,12844,"/title/tt1189073/"
"Females","30-44",7.7,11962,"/title/tt1189073/"
"Females","45+",7.5,1703,"/title/tt1189073/"
"Females","All Ages",7.8,27660,"/title/tt1189073/"
"Males","<18",8.5,47,"/title/tt1189073/"
"Males","18-29",7.8,23843,"/title/tt1189073/"
"Males","30-44",7.5,39007,"/title/tt1189073/"
"Males","45+",7.3,7943,"/title/tt1189073/"
"Males","All Ages",7.6,73323,"/title/tt1189073/"
"All","<18",NA,NA,"/title/tt0850677/"
"All","18-29",4.8,671,"/title/tt0850677/"
"All","30-44",4.5,970,"/title/tt0850677/"
"All","45+",4.2,398,"/title/tt0850677/"
"All","All Ages",4.5,2409,"/title/tt0850677/"
"Females","<18",NA,NA,"/title/tt0850677/"
"Females","18-29",4.9,445,"/title/tt0850677/"
"Females","30-44",4.7,342,"/title/tt0850677/"
"Females","45+",4.6,90,"/title/tt0850677/"
"Females","All Ages",4.8,907,"/title/tt0850677/"
"Males","<18",NA,NA,"/title/tt0850677/"
"Males","18-29",4.7,211,"/title/tt0850677/"
"Males","30-44",4.4,618,"/title/tt0850677/"
"Males","45+",4.1,302,"/title/tt0850677/"
"Males","All Ages",4.3,1167,"/title/tt0850677/"
"All","<18",7.5,32,"/title/tt2617828/"
"All","18-29",7.6,4641,"/title/tt2617828/"
"All","30-44",7.4,4095,"/title/tt2617828/"
"All","45+",7.5,1567,"/title/tt2617828/"
"All","All Ages",7.6,14089,"/title/tt2617828/"
"Females","<18",7.9,14,"/title/tt2617828/"
"Females","18-29",7.6,1572,"/title/tt2617828/"
"Females","30-44",7.4,908,"/title/tt2617828/"
"Females","45+",7.4,176,"/title/tt2617828/"
"Females","All Ages",7.5,2821,"/title/tt2617828/"
"Males","<18",7.3,18,"/title/tt2617828/"
"Males","18-29",7.7,2993,"/title/tt2617828/"
"Males","30-44",7.4,3124,"/title/tt2617828/"
"Males","45+",7.5,1369,"/title/tt2617828/"
"Males","All Ages",7.6,8130,"/title/tt2617828/"
"All","<18",7.3,67,"/title/tt3318220/"
"All","18-29",7.6,3405,"/title/tt3318220/"
"All","30-44",7.2,2168,"/title/tt3318220/"
"All","45+",7.3,831,"/title/tt3318220/"
"All","All Ages",7.5,9138,"/title/tt3318220/"
"Females","<18",7.4,24,"/title/tt3318220/"
"Females","18-29",7.6,1172,"/title/tt3318220/"
"Females","30-44",6.6,406,"/title/tt3318220/"
"Females","45+",7.4,77,"/title/tt3318220/"
"Females","All Ages",7.4,1803,"/title/tt3318220/"
"Males","<18",7.3,43,"/title/tt3318220/"
"Males","18-29",7.7,2174,"/title/tt3318220/"
"Males","30-44",7.3,1730,"/title/tt3318220/"
"Males","45+",7.4,741,"/title/tt3318220/"
"Males","All Ages",7.5,5060,"/title/tt3318220/"
"All","<18",8,2,"/title/tt4292596/"
"All","18-29",6.4,149,"/title/tt4292596/"
"All","30-44",6.2,209,"/title/tt4292596/"
"All","45+",5.7,92,"/title/tt4292596/"
"All","All Ages",6.2,625,"/title/tt4292596/"
"Females","<18",10,1,"/title/tt4292596/"
"Females","18-29",6.7,36,"/title/tt4292596/"
"Females","30-44",6.6,17,"/title/tt4292596/"
"Females","45+",5.5,7,"/title/tt4292596/"
"Females","All Ages",6.7,67,"/title/tt4292596/"
"Males","<18",6,1,"/title/tt4292596/"
"Males","18-29",6.2,110,"/title/tt4292596/"
"Males","30-44",6.1,182,"/title/tt4292596/"
"Males","45+",5.8,83,"/title/tt4292596/"
"Males","All Ages",6.1,399,"/title/tt4292596/"
"All","<18",8.5,17,"/title/tt4613254/"
"All","18-29",7.7,765,"/title/tt4613254/"
"All","30-44",7.3,816,"/title/tt4613254/"
"All","45+",7.4,346,"/title/tt4613254/"
"All","All Ages",7.5,2555,"/title/tt4613254/"
"Females","<18",NA,NA,"/title/tt4613254/"
"Females","18-29",7.6,231,"/title/tt4613254/"
"Females","30-44",6.8,186,"/title/tt4613254/"
"Females","45+",6.2,39,"/title/tt4613254/"
"Females","All Ages",7.3,496,"/title/tt4613254/"
"Males","<18",8.5,17,"/title/tt4613254/"
"Males","18-29",7.7,520,"/title/tt4613254/"
"Males","30-44",7.4,617,"/title/tt4613254/"
"Males","45+",7.5,304,"/title/tt4613254/"
"Males","All Ages",7.6,1535,"/title/tt4613254/"
"All","<18",8.5,2,"/title/tt0077729/"
"All","18-29",7.8,503,"/title/tt0077729/"
"All","30-44",7.7,1215,"/title/tt0077729/"
"All","45+",7.4,674,"/title/tt0077729/"
